Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
6316,2020-02-18,Skeleton,77.0,mountain,nightly disturbance,N/A,night,bones
4731,2022-09-01,Werewolf,48.0,forest,assault,pistol,night,teeth
1750,2022-08-03,Ghost,31.0,castle,nightly disturbance,N/A,night,potions
4789,2023-10-18,Witch,29.0,swamp,arson,pistol,dawn,potions
4567,2021-03-25,Ghost,59.0,village,nightly disturbance,pistol,night,potions
6406,2023-12-04,Zombie,56.0,swamp,assault,knife,dawn,teeth
584,2022-02-19,Ghost,3.0,mountain,vandalism,N/A,night,potions
5254,2021-11-15,Skeleton,83.0,swamp,assault,knife,day,cloak
6429,2024-05-04,Vampire,11.0,castle,assault,brute force,night,blood
446,2021-04-25,Ghost,7.0,village,nightly disturbance,axe,night,cloak
2780,2021-11-08,Witch,91.0,village,kidnapping,knife,dawn,potions
7560,2022-06-21,Zombie,56.0,swamp,kidnapping,N/A,dawn,teeth
5326,2023-08-02,Ghost,32.0,village,nightly disturbance,N/A,night,cloak
5712,2021-06-04,Zombie,2.0,village,kidnapping,N/A,dawn,potions
4040,2021-12-16,Skeleton,58.0,castle,nightly disturbance,pistol,night,cloak
6094,2021-02-21,Witch,49.0,mountain,arson,knife,dusk,cloak
590,2021-03-21,Vampire,65.0,castle,assault,N/A,night,blood
10028,2024-02-11,Zombie,61.0,swamp,kidnapping,pistol,night,potions
7122,2024-09-09,Witch,90.0,swamp,kidnapping,N/A,night,fur
8240,2024-02-14,Witch,62.0,swamp,arson,brute force,day,bones
9994,2023-04-03,Zombie,17.0,swamp,assault,brute force,Dawn,bones
2276,2021-03-20,Ghost,56.0,castle,nightly disturbance,knife,night,cloak
4687,2022-01-09,Ghost,13.0,village,nightly disturbance,pistol,night,potions
9580,2024-04-20,Skeleton,97.0,mountain,nightly disturbance,N/A,night,bones
4994,2020-08-03,Zombie,33.0,swamp,murder,N/A,day,blood
10018,2021-08-24,Skeleton,59.0,castle,vandalism,pistol,day,bones
1985,2022-09-03,Werewolf,68.0,village,assault,pistol,dusk,teeth
8328,2024-09-10,Werewolf,92.0,swamp,assault,pistol,night,teeth
6656,2023-04-08,Vampire,33.0,forest,assault,brute force,night,blood
8937,2022-06-20,Ghost,54.0,village,nightly disturbance,knife,night,potions
326,2022-06-12,Witch,15.0,village,arson,N/A,dusk,potions
2708,2021-11-09,Ghost,66.0,forest,theft,N/A,dusk,potions
4672,2021-06-04,Witch,52.0,mountain,arson,N/A,night,potions
4996,2024-02-23,Werewolf,99.0,forest,assault,N/A,night,fur
8413,2023-08-05,Zombie,88.0,swamp,kidnapping,axe,night,potions
3372,2021-06-25,Witch,80.0,village,arson,N/A,dawn,potions
5648,2024-02-01,Ghost,67.0,castle,arson,N/A,night,potions
256,2022-11-28,Witch,86.0,village,arson,N/A,day,cloak
4014,2020-10-06,Werewolf,58.0,mountain,Assault,knife,night,blood
6697,2023-08-02,Witch,28.0,village,kidnapping,axe,night,potions
5605,2021-09-07,Zombie,64.0,forest,kidnapping,knife,dawn,teeth
36,2021-05-21,Zombie,77.0,mountain,murder,pistol,night,bones
8448,2020-02-18,Witch,6.0,swamp,kidnapping,N/A,dawn,cloak
1529,2023-04-16,Vampire,86.0,castle,nightly disturbance,brute force,night,teeth
9409,2020-12-03,Werewolf,69.0,mountain,assault,axe,night,fur
40,2024-01-31,Skeleton,49.0,mountain,nightly disturbance,axe,night,bones
4866,2021-01-31,Ghost,85.0,castle,nightly disturbance,brute force,night,cloak
3501,2019-11-06,Ghost,11.0,castle,vandalism,axe,night,cloak
1779,2023-09-12,Zombie,11.0,forest,vandalism,brute force,night,Bones
2332,2021-09-01,Ghost,20.0,forest,vandalism,pistol,dusk,Potions
3762,2020-02-06,Zombie,15.0,forest,KIDNAPPING,axe,night,blood
8369,2022-01-14,Werewolf,23.0,mountain,nightly disturbance,N/A,night,blood
5040,2021-07-03,Skeleton,21.0,mountain,nightly disturbance,axe,night,bones
8208,2020-05-30,Skeleton,62.0,mountain,assault,pistol,dusk,cloak
3064,2022-09-02,Skeleton,36.0,castle,nightly disturbance,knife,night,bones
8015,2023-06-11,Skeleton,31.0,castle,vandalism,knife,night,cloak
3071,2021-07-04,Ghost,16.0,castle,nightly disturbance,brute force,night,cloak
9752,2022-04-30,Vampire,36.0,castle,assault,pistol,night,cloak
2573,2024-02-26,Ghost,53.0,castle,vandalism,pistol,night,cloak
2620,2021-06-06,Vampire,38.0,castle,assault,N/A,night,cloak
1202,2021-12-17,Skeleton,7.0,mountain,vandalism,N/A,dusk,cloak
8043,2022-07-19,Ghost,44.0,castle,vandalism,pistol,dusk,potions
6139,2019-11-18,Werewolf,85.0,forest,nightly disturbance,N/A,night,teeth
108,2020-10-14,Witch,87.0,swamp,arson,pistol,night,potions
1330,2023-08-02,Ghost,18.0,castle,vandalism,knife,night,cloak
8271,2022-09-11,Werewolf,21.0,mountain,assault,axe,dusk,blood
2783,2020-07-04,Werewolf,56.0,village,assault,knife,night,bones
9851,2023-06-02,Vampire,14.0,mountain,nightly disturbance,N/A,night,cloak
6295,2020-01-11,Ghost,36.0,mountain,nightly disturbance,brute force,night,cloak
2908,2022-02-07,Zombie,55.0,swamp,kidnapping,knife,dawn,blood
5377,2021-04-16,Skeleton,58.0,mountain,nightly disturbance,knife,night,bones
807,2022-05-08,Vampire,23.0,castle,assault,axe,night,blood
3607,2024-01-22,Werewolf,26.0,forest,kidnapping,pistol,night,fur
2926,2021-08-13,Werewolf,87.0,swamp,assault,pistol,dusk,blood
2959,2021-07-31,Vampire,68.0,mountain,assault,axe,dusk,blood
8262,2024-08-16,Ghost,65.0,forest,theft,knife,dawn,cloak
981,2023-09-13,Zombie,92.0,swamp,kidnapping,knife,dusk,potions
6756,2023-02-10,Witch,73.0,swamp,arson,N/A,day,cloak
8662,2024-03-14,Vampire,67.0,castle,assault,brute force,night,blood
2043,2021-12-08,Vampire,84.0,mountain,theft,pistol,night,cloak
9145,2024-02-21,Ghost,75.0,village,vandalism,N/A,dusk,cloak
961,2023-03-26,Skeleton,69.0,forest,arson,N/A,day,bones
5414,2023-07-13,Skeleton,54.0,mountain,nightly disturbance,N/A,night,cloak
3896,2024-08-03,Zombie,29.0,village,kidnapping,axe,dawn,blood
5921,2021-08-01,Skeleton,60.0,mountain,assault,N/A,day,bones
3179,2022-07-08,Skeleton,3.0,mountain,nightly disturbance,knife,night,cloak
3340,2021-12-23,Zombie,95.0,forest,murder,pistol,dawn,potions
3038,2022-08-19,Werewolf,58.0,forest,assault,knife,night,bones
9092,2023-01-11,Vampire,4.0,forest,assault,axe,night,blood
7847,2021-04-20,Skeleton,96.0,mountain,assault,axe,day,cloak
7511,2021-05-14,Skeleton,91.0,forest,vandalism,knife,day,cloak
8019,2024-04-06,Zombie,35.0,swamp,murder,axe,dusk,blood
9330,2022-02-22,Skeleton,39.0,castle,assault,N/A,day,bones
1068,2023-10-05,Skeleton,57.0,mountain,arson,pistol,day,bones
3188,2023-08-15,Werewolf,61.0,mountain,assault,N/A,dusk,fur
3826,2023-09-26,Zombie,66.0,swamp,vandalism,knife,day,blood
9281,2021-01-30,Skeleton,64.0,castle,assault,brute force,night,bones
7902,2022-08-05,Zombie,44.0,swamp,murder,axe,night,blood
7612,2022-07-22,Vampire,6.0,castle,nightly disturbance,N/A,night,blood
7302,2020-09-23,Witch,69.0,village,arson,N/A,day,potions
772,2020-10-24,Ghost,5.0,village,vandalism,axe,night,cloak
5067,2022-01-27,Vampire,50.0,castle,assault,knife,dusk,blood
4950,2023-10-26,Vampire,43.0,castle,theft,N/A,night,blood
8173,2024-07-03,Zombie,53.0,swamp,kidnapping,knife,dusk,bones
6913,2020-04-14,Werewolf,80.0,mountain,nightly disturbance,pistol,night,blood
2191,2023-03-16,Werewolf,12.0,mountain,vandalism,N/A,night,fur
1883,2020-01-01,Ghost,65.0,village,theft,brute force,dawn,potions
7927,2020-11-04,Ghost,65.0,village,nightly disturbance,brute force,night,potions
9214,2023-10-11,Zombie,72.0,swamp,vandalism,knife,dusk,potions
2368,2023-12-20,Skeleton,58.0,castle,nightly disturbance,N/A,night,bones
5585,2021-12-22,Skeleton,19.0,mountain,assault,axe,day,cloak
6812,2022-11-24,Vampire,55.0,castle,nightly disturbance,N/A,night,cloak
4044,2022-04-18,Zombie,90.0,mountain,kidnapping,N/A,dawn,bones
1135,2023-03-05,Werewolf,71.0,forest,assault,pistol,night,blood
8798,2020-09-29,Skeleton,65.0,mountain,nightly disturbance,brute force,night,bones
4090,2023-10-19,Skeleton,22.0,mountain,assault,knife,dusk,cloak
7715,2023-11-28,Witch,42.0,village,arson,knife,dusk,cloak
773,2024-05-02,Vampire,55.0,castle,nightly disturbance,Brute force,night,blood
2372,2023-07-16,Werewolf,39.0,forest,nightly disturbance,N/A,night,teeth
4112,2023-11-02,Vampire,50.0,castle,nightly disturbance,axe,night,blood
7287,2023-10-01,ghost,42.0,castle,nightly disturbance,knife,night,potions
4258,2020-03-06,Ghost,25.0,village,nightly disturbance,knife,night,potions
8029,2021-10-10,Witch,63.0,village,kidnapping,axe,dawn,bones
6030,2020-06-07,Skeleton,1.0,mountain,vandalism,axe,day,bones
3385,2023-10-06,Vampire,80.0,mountain,murder,N/A,night,teeth
4742,2023-06-02,Werewolf,66.0,village,assault,pistol,Night,blood
3434,2022-05-15,witch,76.0,village,arson,N/A,day,potions
4122,2022-10-28,Skeleton,13.0,castle,vandalism,pistol,day,bones
9241,2023-03-03,Werewolf,66.0,mountain,assault,axe,night,teeth
1238,2021-06-11,Werewolf,85.0,village,assault,N/A,night,blood
6356,2023-11-15,Skeleton,68.0,castle,Assault,brute force,day,bones
3156,2023-11-14,Witch,33.0,swamp,kidnapping,knife,night,fur
518,2022-03-15,Ghost,47.0,village,nightly disturbance,brute force,night,cloak
5854,2021-04-11,Zombie,12.0,swamp,assault,N/A,dawn,bones
8265,2024-02-26,Ghost,97.0,castle,theft,knife,night,potions
9512,2023-03-21,Ghost,34.0,castle,vandalism,brute force,dawn,Potions
97,2021-11-26,Skeleton,20.0,mountain,nightly disturbance,brute force,night,bones
6749,2019-11-11,Skeleton,71.0,mountain,arson,N/A,dusk,cloak
1528,2020-01-11,Werewolf,5.0,forest,assault,Pistol,night,teeth
8881,2022-12-14,Zombie,18.0,swamp,kidnapping,N/A,dusk,potions
120,2023-09-01,Skeleton,29.0,mountain,nightly disturbance,N/A,night,cloak
7868,2024-08-11,Witch,58.0,village,arson,pistol,dusk,cloak
6583,2020-01-21,Witch,95.0,swamp,ARSON,N/A,dusk,cloak
34,2022-05-06,Skeleton,48.0,mountain,arson,axe,day,bones
7964,2022-09-30,Witch,80.0,forest,kidnapping,knife,day,cloak
6900,2024-09-30,Werewolf,60.0,village,assault,N/A,dusk,fur
5478,2023-09-25,Skeleton,61.0,mountain,arson,pistol,dusk,bones
1080,2022-12-10,Zombie,67.0,swamp,kidnapping,knife,night,blood
1362,2020-02-18,Werewolf,79.0,forest,vandalism,knife,dawn,blood
4794,2022-08-11,Skeleton,65.0,mountain,NIGHTLY DISTURBANCE,knife,night,bones
6065,2022-09-11,Ghost,46.0,castle,arson,N/A,night,potions
6100,2024-07-05,Vampire,55.0,castle,assault,N/A,night,cloak
3856,2022-12-31,Skeleton,75.0,castle,arson,brute force,dusk,bones
8533,2022-12-21,Vampire,82.0,village,nightly disturbance,axe,night,blood
5323,2020-04-28,Vampire,77.0,castle,theft,pistol,night,blood
