Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
2101,Witch,No,526.0,F,197.0,16.0,1.0,hazelnut,brain
9299,Zombie,Yes,46.0,M,184.0,20.0,7.0,cat hair,humans
6824,Vampire,No,442.0,M,192.0,21.0,7.0,sunlight,pesto pasta
6773,Vampire,No,551.0,F,167.0,43.0,6.0,garlic,humans
9624,Zombie,Yes,150.0,F,176.0,17.0,1.0,pumpkin,brain
7494,Zombie,Yes,100.0,M,180.0,20.0,1.0,garlic,pesto pasta
2606,Witch,No,301.0,M,151.0,12.0,4.0,pumpkin,rats
9574,Skeleton,No,999.0,F,184.0,38.0,3.0,silver,brain
2202,Skeleton,Yes,2100.0,F,151.0,64.0,1.0,silver,humans
8659,Skeleton,No,637.0,F,151.0,22.0,5.0,silver,lasagna
7155,werewolf,Yes,89.0,M,189.0,83.0,6.0,cat hair,rats
8018,Ghost,No,3169.0,M,190.0,21.0,1.0,pumpkin,lasagna
4068,Ghost,No,339.0,M,199.0,78.0,1.0,sunlight,rats
6472,Skeleton,Yes,1154.0,F,181.0,19.0,2.0,silver,rats
3949,Zombie,Yes,115.0,F,189.0,7.0,4.0,garlic,RATS
3985,Witch,Yes,244.0,F,169.0,20.0,2.0,garlic,brain
7170,Zombie,Yes,85.0,F,180.0,12.0,2.0,silver,rats
3142,Ghost,Yes,1815.0,F,199.0,1.0,1.0,pumpkin,lasagna
3175,Vampire,No,580.0,F,188.0,49.0,6.0,silver,pesto pasta
4799,Skeleton,Yes,1379.0,F,165.0,9.0,7.0,hazelnut,brain
6116,Witch,Yes,276.0,F,186.0,17.0,4.0,hazelnut,humans
4168,Skeleton,No,391.0,M,161.0,21.0,3.0,silver,brain
7988,Skeleton,No,911.0,f,152.0,3.0,7.0,garlic,humans
787,Vampire,no,444.0,M,159.0,32.0,4.0,garlic,brain
7741,Witch,No,463.0,M,184.0,20.0,8.0,hazelnut,pesto pasta
6466,Witch,No,271.0,F,164.0,16.0,1.0,hazelnut,rats
5298,Skeleton,Yes,1063.0,F,186.0,22.0,6.0,silver,humans
935,Witch,No,494.0,F,167.0,21.0,1.0,hazelnut,brain
8636,Ghost,No,1045.0,M,185.0,31.0,9.0,sunlight,brain
8697,Witch,Yes,303.0,F,162.0,11.0,1.0,hazelnut,pesto pasta
7905,Skeleton,No,2300.0,M,154.0,41.0,8.0,silver,brain
2893,Skeleton,No,1884.0,F,174.0,17.0,3.0,silver,rats
7490,Werewolf,No,186.0,M,177.0,67.0,5.0,garlic,pesto pasta
2576,Ghost,No,426.0,F,158.0,18.0,2.0,sunlight,lasagna
3169,Skeleton,Yes,1964.0,M,160.0,46.0,3.0,silver,brain
7550,Zombie,Yes,161.0,M,174.0,21.0,1.0,cat hair,rats
6032,Ghost,No,1503.0,M,175.0,79.0,8.0,sunlight,pesto pasta
1597,Skeleton,No,1423.0,F,156.0,28.0,7.0,silver,lasagna
8627,Zombie,Yes,135.0,F,165.0,19.0,4.0,cat hair,lasagna
9246,Witch,Yes,225.0,M,153.0,22.0,1.0,hazelnut,rats
203,Vampire,Yes,682.0,F,179.0,38.0,6.0,garlic,pesto pasta
9568,Skeleton,No,261.0,M,193.0,38.0,2.0,silver,brain
7575,Witch,No,449.0,M,183.0,26.0,3.0,pumpkin,lasagna
5594,Vampire,Yes,372.0,F,153.0,29.0,3.0,sunlight,rats
6942,Witch,No,600.0,M,190.0,16.0,2.0,pumpkin,rats
8491,Witch,Yes,321.0,M,174.0,20.0,8.0,hazelnut,lasagna
9799,Ghost,Yes,1113.0,F,161.0,90.0,7.0,pumpkin,rats
5780,Skeleton,Yes,497.0,M,162.0,15.0,1.0,silver,brain
457,Ghost,No,2813.0,F,150.0,49.0,10.0,silver,brain
3931,Witch,No,333.0,F,159.0,19.0,1.0,garlic,lasagna
