Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Year,Month,Day,Investigation Time
6316,2020-02-18,skeleton,77,mountain,nightly disturbance,unknown,night,bones,2020,February,Tuesday,long
4731,2022-09-01,werewolf,48,forest,assault,pistol,night,teeth,2022,September,Thursday,medium
1750,2022-08-03,ghost,31,castle,nightly disturbance,unknown,night,potions,2022,August,Wednesday,medium
4789,2023-10-18,witch,29,swamp,arson,pistol,dawn,potions,2023,October,Wednesday,short
4567,2021-03-25,ghost,59,village,nightly disturbance,pistol,night,potions,2021,March,Thursday,medium
6406,2023-12-04,zombie,56,swamp,assault,knife,dawn,teeth,2023,December,Monday,medium
584,2022-02-19,ghost,3,mountain,vandalism,unknown,night,potions,2022,February,Saturday,short
5254,2021-11-15,skeleton,83,swamp,assault,knife,day,cloak,2021,November,Monday,long
6429,2024-05-04,vampire,11,castle,assault,brute force,night,blood,2024,May,Saturday,short
446,2021-04-25,ghost,7,village,nightly disturbance,axe,night,cloak,2021,April,Sunday,short
2780,2021-11-08,witch,91,village,kidnapping,knife,dawn,potions,2021,November,Monday,very long
7560,2022-06-21,zombie,56,swamp,kidnapping,unknown,dawn,teeth,2022,June,Tuesday,medium
5326,2023-08-02,ghost,32,village,nightly disturbance,unknown,night,cloak,2023,August,Wednesday,medium
5712,2021-06-04,zombie,2,village,kidnapping,unknown,dawn,potions,2021,June,Friday,short
4040,2021-12-16,skeleton,58,castle,nightly disturbance,pistol,night,cloak,2021,December,Thursday,medium
6094,2021-02-21,witch,49,mountain,arson,knife,dusk,cloak,2021,February,Sunday,medium
590,2021-03-21,vampire,65,castle,assault,unknown,night,blood,2021,March,Sunday,long
10028,2024-02-11,zombie,61,swamp,kidnapping,pistol,night,potions,2024,February,Sunday,long
7122,2024-09-09,witch,90,swamp,kidnapping,unknown,night,fur,2024,September,Monday,long
8240,2024-02-14,witch,62,swamp,arson,brute force,day,bones,2024,February,Wednesday,long
9994,2023-04-03,zombie,17,swamp,assault,brute force,dawn,bones,2023,April,Monday,short
2276,2021-03-20,ghost,56,castle,nightly disturbance,knife,night,cloak,2021,March,Saturday,medium
4687,2022-01-09,ghost,13,village,nightly disturbance,pistol,night,potions,2022,January,Sunday,short
9580,2024-04-20,skeleton,97,mountain,nightly disturbance,unknown,night,bones,2024,April,Saturday,very long
4994,2020-08-03,zombie,33,swamp,murder,unknown,day,blood,2020,August,Monday,medium
10018,2021-08-24,skeleton,59,castle,vandalism,pistol,day,bones,2021,August,Tuesday,medium
1985,2022-09-03,werewolf,68,village,assault,pistol,dusk,teeth,2022,September,Saturday,long
8328,2024-09-10,werewolf,92,swamp,assault,pistol,night,teeth,2024,September,Tuesday,very long
6656,2023-04-08,vampire,33,forest,assault,brute force,night,blood,2023,April,Saturday,medium
8937,2022-06-20,ghost,54,village,nightly disturbance,knife,night,potions,2022,June,Monday,medium
326,2022-06-12,witch,15,village,arson,unknown,dusk,potions,2022,June,Sunday,short
2708,2021-11-09,ghost,66,forest,theft,unknown,dusk,potions,2021,November,Tuesday,long
4672,2021-06-04,witch,52,mountain,arson,unknown,night,potions,2021,June,Friday,medium
4996,2024-02-23,werewolf,99,forest,assault,unknown,night,fur,2024,February,Friday,very long
8413,2023-08-05,zombie,88,swamp,kidnapping,axe,night,potions,2023,August,Saturday,long
3372,2021-06-25,witch,80,village,arson,unknown,dawn,potions,2021,June,Friday,long
5648,2024-02-01,ghost,67,castle,arson,unknown,night,potions,2024,February,Thursday,long
256,2022-11-28,witch,86,village,arson,unknown,day,cloak,2022,November,Monday,long
4014,2020-10-06,werewolf,58,mountain,assault,knife,night,blood,2020,October,Tuesday,medium
6697,2023-08-02,witch,28,village,kidnapping,axe,night,potions,2023,August,Wednesday,short
5605,2021-09-07,zombie,64,forest,kidnapping,knife,dawn,teeth,2021,September,Tuesday,long
36,2021-05-21,zombie,77,mountain,murder,pistol,night,bones,2021,May,Friday,long
8448,2020-02-18,witch,6,swamp,kidnapping,unknown,dawn,cloak,2020,February,Tuesday,short
1529,2023-04-16,vampire,86,castle,nightly disturbance,brute force,night,teeth,2023,April,Sunday,long
9409,2020-12-03,werewolf,69,mountain,assault,axe,night,fur,2020,December,Thursday,long
40,2024-01-31,skeleton,49,mountain,nightly disturbance,axe,night,bones,2024,January,Wednesday,medium
4866,2021-01-31,ghost,85,castle,nightly disturbance,brute force,night,cloak,2021,January,Sunday,long
3501,2019-11-06,ghost,11,castle,vandalism,axe,night,cloak,2019,November,Wednesday,short
1779,2023-09-12,zombie,11,forest,vandalism,brute force,night,bones,2023,September,Tuesday,short
2332,2021-09-01,ghost,20,forest,vandalism,pistol,dusk,potions,2021,September,Wednesday,short
3762,2020-02-06,zombie,15,forest,kidnapping,axe,night,blood,2020,February,Thursday,short
8369,2022-01-14,werewolf,23,mountain,nightly disturbance,unknown,night,blood,2022,January,Friday,short
5040,2021-07-03,skeleton,21,mountain,nightly disturbance,axe,night,bones,2021,July,Saturday,short
8208,2020-05-30,skeleton,62,mountain,assault,pistol,dusk,cloak,2020,May,Saturday,long
3064,2022-09-02,skeleton,36,castle,nightly disturbance,knife,night,bones,2022,September,Friday,medium
8015,2023-06-11,skeleton,31,castle,vandalism,knife,night,cloak,2023,June,Sunday,medium
3071,2021-07-04,ghost,16,castle,nightly disturbance,brute force,night,cloak,2021,July,Sunday,short
9752,2022-04-30,vampire,36,castle,assault,pistol,night,cloak,2022,April,Saturday,medium
2573,2024-02-26,ghost,53,castle,vandalism,pistol,night,cloak,2024,February,Monday,medium
2620,2021-06-06,vampire,38,castle,assault,unknown,night,cloak,2021,June,Sunday,medium
1202,2021-12-17,skeleton,7,mountain,vandalism,unknown,dusk,cloak,2021,December,Friday,short
