importtIndex_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food,Age Bin
2101,witch,no,526.0,f,197.0,0.16,0.1,hazelnut,brain,adult
9299,zombie,yes,46.0,m,184.0,0.2,0.7,cat hair,humans,baby
6824,vampire,no,442.0,m,192.0,0.21,0.7,sunlight,pesto pasta,adult
6773,vampire,no,551.0,f,167.0,0.43,0.6,garlic,humans,adult
9624,zombie,yes,150.0,f,176.0,0.17,0.1,pumpkin,brain,young adult
7494,zombie,yes,100.0,m,180.0,0.2,0.1,garlic,pesto pasta,teen
2606,witch,no,301.0,m,151.0,0.12,0.4,pumpkin,rats,young adult
9574,skeleton,no,999.0,f,184.0,0.38,0.3,silver,brain,middle age
2202,skeleton,yes,2100.0,f,151.0,0.64,0.1,silver,humans,old
8659,skeleton,no,637.0,f,151.0,0.22,0.5,silver,lasagna,middle age
7155,werewolf,yes,89.0,m,189.0,0.83,0.6,cat hair,rats,teen
8018,ghost,no,3169.0,m,190.0,0.21,0.1,pumpkin,lasagna,old
4068,ghost,no,339.0,m,199.0,0.78,0.1,sunlight,rats,young adult
6472,skeleton,yes,1154.0,f,181.0,0.19,0.2,silver,rats,middle age
3949,zombie,yes,115.0,f,189.0,0.07,0.4,garlic,rats,teen
3985,witch,yes,244.0,f,169.0,0.2,0.2,garlic,brain,young adult
7170,zombie,yes,85.0,f,180.0,0.12,0.2,silver,rats,teen
3142,ghost,yes,1815.0,f,199.0,0.01,0.1,pumpkin,lasagna,old
3175,vampire,no,580.0,f,188.0,0.49,0.6,silver,pesto pasta,adult
4799,skeleton,yes,1379.0,f,165.0,0.09,0.7,hazelnut,brain,old
6116,witch,yes,276.0,f,186.0,0.17,0.4,hazelnut,humans,young adult
4168,skeleton,no,391.0,m,161.0,0.21,0.3,silver,brain,adult
7988,skeleton,no,911.0,f,152.0,0.03,0.7,garlic,humans,middle age
787,vampire,no,444.0,m,159.0,0.32,0.4,garlic,brain,adult
7741,witch,no,463.0,m,184.0,0.2,0.8,hazelnut,pesto pasta,adult
6466,witch,no,271.0,f,164.0,0.16,0.1,hazelnut,rats,young adult
5298,skeleton,yes,1063.0,f,186.0,0.22,0.6,silver,humans,middle age
935,witch,no,494.0,f,167.0,0.21,0.1,hazelnut,brain,adult
8636,ghost,no,1045.0,m,185.0,0.31,0.9,sunlight,brain,middle age
8697,witch,yes,303.0,f,162.0,0.11,0.1,hazelnut,pesto pasta,young adult
7905,skeleton,no,2300.0,m,154.0,0.41,0.8,silver,brain,old
2893,skeleton,no,1884.0,f,174.0,0.17,0.3,silver,rats,old
7490,werewolf,no,186.0,m,177.0,0.67,0.5,garlic,pesto pasta,young adult
2576,ghost,no,426.0,f,158.0,0.18,0.2,sunlight,lasagna,adult
3169,skeleton,yes,1964.0,m,160.0,0.46,0.3,silver,brain,old
7550,zombie,yes,161.0,m,174.0,0.21,0.1,cat hair,rats,young adult
6032,ghost,no,1503.0,m,175.0,0.79,0.8,sunlight,pesto pasta,old
1597,skeleton,no,1423.0,f,156.0,0.28,0.7,silver,lasagna,old
8627,zombie,yes,135.0,f,165.0,0.19,0.4,cat hair,lasagna,teen
9246,witch,yes,225.0,m,153.0,0.22,0.1,hazelnut,rats,young adult
203,vampire,yes,682.0,f,179.0,0.38,0.6,garlic,pesto pasta,middle age
9568,skeleton,no,261.0,m,193.0,0.38,0.2,silver,brain,young adult
7575,witch,no,449.0,m,183.0,0.26,0.3,pumpkin,lasagna,adult
5594,vampire,yes,372.0,f,153.0,0.29,0.3,sunlight,rats,young adult
6942,witch,no,600.0,m,190.0,0.16,0.2,pumpkin,rats,middle age
8491,witch,yes,321.0,m,174.0,0.2,0.8,hazelnut,lasagna,young adult
9799,ghost,yes,1113.0,f,161.0,0.9,0.7,pumpkin,rats,middle age
5780,skeleton,yes,497.0,m,162.0,0.15,0.1,silver,brain,adult
457,ghost,no,2813.0,f,150.0,0.49,1.0,silver,brain,old
3931,witch,no,333.0,f,159.0,0.19,0.1,garlic,lasagna,young adult
3239,zombie,no,70.0,m,181.0,0.11,0.5,sunlight,lasagna,baby
5701,skeleton,no,281.0,m,166.0,0.01,0.9,cat hair,pesto pasta,young adult
2475,zombie,yes,146.0,m,193.0,0.13,0.2,sunlight,lasagna,young adult
3193,vampire,yes,841.0,m,186.0,0.51,0.8,garlic,pesto pasta,middle age
5496,ghost,no,567.0,f,169.0,0.64,0.6,pumpkin,rats,adult
9237,zombie,no,110.0,m,169.0,0.16,0.1,silver,pesto pasta,teen
3807,ghost,yes,2038.0,m,183.0,0.46,0.8,sunlight,humans,old
1748,ghost,yes,1601.0,m,175.0,0.55,0.3,hazelnut,pesto pasta,old
3204,vampire,yes,561.0,f,174.0,0.36,0.5,garlic,rats,adult
9803,skeleton,no,1647.0,f,152.0,0.31,0.4,hazelnut,pesto pasta,old
3268,vampire,no,512.0,m,185.0,0.32,0.6,sunlight,pesto pasta,adult
5838,ghost,no,3841.0,m,150.0,0.21,0.1,garlic,pesto pasta,old
9699,zombie,yes,74.0,f,158.0,0.22,0.7,cat hair,brain,baby
5675,ghost,yes,1398.0,m,175.0,1.0,0.6,sunlight,rats,old
