Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Year,Month,Day,Investigation Time
6316,0,0,77,0,0,0,0,0,0,0,0,0
4731,1,1,48,1,1,1,0,1,1,1,1,1
1750,2,2,31,2,0,0,0,2,1,2,2,1
4789,3,3,29,3,2,1,1,2,2,3,2,2
4567,4,2,59,4,0,1,0,2,3,4,1,1
6406,5,4,56,3,1,2,1,1,2,5,3,1
584,6,2,3,0,3,0,0,2,1,0,4,2
5254,7,0,83,3,1,2,2,3,3,6,3,0
6429,8,5,11,2,1,3,0,4,4,7,4,2
446,9,2,7,4,0,4,0,3,3,8,5,2
2780,10,3,91,4,4,2,1,2,3,6,3,3
7560,11,4,56,3,4,0,1,1,1,9,0,1
5326,12,2,32,4,0,0,0,3,2,2,2,1
5712,13,4,2,4,4,0,1,2,3,9,6,2
4040,14,0,58,2,0,1,0,3,3,5,1,1
6094,15,3,49,0,2,2,3,3,3,0,5,1
590,16,5,65,2,1,0,0,4,3,4,5,0
10028,17,4,61,3,4,1,0,2,4,0,5,0
7122,18,3,90,3,4,0,0,5,4,1,3,0
8240,19,3,62,3,2,3,2,0,4,0,2,0
9994,20,4,17,3,1,3,1,0,2,8,3,2
2276,21,2,56,2,0,2,0,3,3,4,4,1
4687,22,2,13,4,0,1,0,2,1,10,5,2
9580,23,0,97,0,0,0,0,0,4,8,4,3
4994,24,4,33,3,5,0,2,4,0,2,3,1
10018,25,0,59,2,3,1,2,0,3,2,0,1
1985,26,1,68,4,1,1,3,1,1,1,4,0
8328,27,1,92,3,1,1,0,1,4,1,0,3
6656,28,5,33,1,1,3,0,4,2,8,4,1
8937,29,2,54,4,0,2,0,2,1,9,3,1
326,30,3,15,4,2,0,3,2,1,9,5,2
2708,31,2,66,1,6,0,3,2,3,6,0,0
4672,13,3,52,0,2,0,0,2,3,9,6,1
4996,32,1,99,1,1,0,0,5,4,0,6,3
8413,33,4,88,3,4,4,0,2,2,2,4,0
3372,34,3,80,4,2,0,1,2,3,9,6,0
5648,35,2,67,2,2,0,0,2,4,0,1,0
256,36,3,86,4,2,0,2,3,1,6,3,0
4014,37,1,58,0,1,2,0,4,0,3,0,1
6697,12,3,28,4,4,4,0,2,2,2,2,2
5605,38,4,64,1,4,2,1,1,3,1,0,0
36,39,4,77,0,5,1,0,0,3,7,6,0
8448,0,3,6,3,4,0,1,3,0,0,0,2
1529,40,5,86,2,0,3,0,1,2,8,5,0
9409,41,1,69,0,1,4,0,5,0,5,1,0
40,42,0,49,0,0,4,0,0,4,10,2,1
4866,43,2,85,2,0,3,0,3,3,10,5,0
3501,44,2,11,2,3,4,0,3,5,6,2,2
1779,45,4,11,1,3,3,0,0,2,1,0,2
2332,46,2,20,1,3,1,3,2,3,1,2,2
3762,47,4,15,1,4,4,0,4,0,0,1,2
8369,48,1,23,0,0,0,0,4,1,10,6,2
5040,49,0,21,0,0,4,0,0,3,11,4,2
8208,50,0,62,0,1,1,3,3,0,7,4,0
3064,51,0,36,2,0,2,0,0,1,1,6,1
8015,52,0,31,2,3,2,0,3,2,9,5,1
3071,53,2,16,2,0,3,0,3,3,11,5,2
9752,54,5,36,2,1,1,0,3,1,8,4,1
2573,55,2,53,2,3,1,0,3,4,0,3,1
2620,56,5,38,2,1,0,0,3,3,9,5,1
1202,57,0,7,0,3,0,3,3,3,5,6,2
8043,58,2,44,2,3,1,3,2,1,11,0,1
6139,59,1,85,1,0,0,0,1,5,6,3,0
108,60,3,87,3,2,1,0,2,0,3,2,0
1330,12,2,18,2,3,2,0,3,2,2,2,2
8271,61,1,21,0,1,4,3,4,1,1,5,2
2783,62,1,56,4,1,2,0,0,0,11,4,1
9851,63,5,14,0,0,0,0,3,2,9,6,2
6295,64,2,36,0,0,3,0,3,0,10,4,1
2908,65,4,55,3,4,2,1,4,1,0,3,1
5377,66,0,58,0,0,2,0,0,3,8,6,1
807,67,5,23,2,1,4,0,4,1,7,5,2
3607,68,1,26,1,4,1,0,5,4,10,3,2
2926,69,1,87,3,1,1,3,4,3,2,6,0
2959,70,5,68,0,1,4,3,4,3,11,4,0
8262,71,2,65,1,6,2,1,3,4,2,6,0
981,72,4,92,3,4,2,3,2,2,1,2,3
6756,73,3,73,3,2,0,2,3,2,0,6,0
8662,74,5,67,2,1,3,0,4,4,4,1,0
2043,75,5,84,0,6,1,0,3,3,5,2,0
9145,76,2,75,4,3,0,3,3,4,0,2,0
961,77,0,69,1,2,0,2,0,2,4,5,0
5414,78,0,54,0,0,0,0,3,2,11,1,1
3896,79,4,29,4,4,4,1,4,4,2,4,2
5921,80,0,60,0,1,0,2,0,3,2,5,1
3179,81,0,3,0,0,2,0,3,1,11,6,2
3340,82,4,95,1,5,1,1,2,3,5,1,3
3038,83,1,58,1,1,2,0,0,1,2,6,1
9092,84,5,4,1,1,4,0,4,2,10,2,2
7847,85,0,96,0,1,4,2,3,3,8,0,3
7511,86,0,91,1,3,2,2,3,3,7,6,3
8019,87,4,35,3,5,4,3,4,4,8,4,1
9330,88,0,39,2,1,0,2,0,1,0,0,1
1068,89,0,57,0,2,1,2,0,2,3,1,1
3188,90,1,61,0,1,0,3,5,2,2,0,0
3826,91,4,66,3,3,2,2,4,2,1,0,0
9281,92,0,64,2,1,3,0,0,3,10,4,0
7902,93,4,44,3,5,4,0,4,1,2,6,1
7612,94,5,6,2,0,0,0,4,1,11,6,2
7302,95,3,69,4,2,0,2,2,0,1,2,0
772,96,2,5,4,3,4,0,3,0,3,4,2
